appdb	big_orders	utf8mb4_0900_ai_ci
appdb	customers	utf8mb4_0900_ai_ci
appdb	orders	utf8mb4_0900_ai_ci
appdb	seq_1M	utf8mb4_0900_ai_ci
json_poc	json_test	utf8mb4_0900_ai_ci
sakila	actor	utf8mb4_0900_ai_ci
sakila	address	utf8mb4_0900_ai_ci
sakila	category	utf8mb4_0900_ai_ci
sakila	city	utf8mb4_0900_ai_ci
sakila	country	utf8mb4_0900_ai_ci
sakila	customer	utf8mb4_0900_ai_ci
sakila	film	utf8mb4_0900_ai_ci
sakila	film_actor	utf8mb4_0900_ai_ci
sakila	film_category	utf8mb4_0900_ai_ci
sakila	film_text	utf8mb4_0900_ai_ci
sakila	inventory	utf8mb4_0900_ai_ci
sakila	language	utf8mb4_0900_ai_ci
sakila	payment	utf8mb4_0900_ai_ci
sakila	rental	utf8mb4_0900_ai_ci
sakila	staff	utf8mb4_0900_ai_ci
sakila	store	utf8mb4_0900_ai_ci
